program,university,country,publicPrivate,track,language,tuitionIntl,scholarshipName,fundingLevel,stipendCoverage,tunisianEligible,portfolioReq,entryRequirements,applicationOpens,deadline,sourceUrl,fitNotes,verified,verificationNotes
"Master ATIAM (Acoustics, Signal Processing & Computer Science Applied to Music)","Sorbonne Université, in partnership with IRCAM & Télécom Paris",France,Public (consortium),Sound/Music-Tech,French (primary); significant course literature and some teaching in English,"French public master registration ~EUR 250/yr; possible differentiated non-EU fee (~EUR 3,770) may be waived - Check Sorbonne","None found program-specific; check French Govt (Eiffel), Campus France, CROUS",UNVERIFIED,UNVERIFIED,Y (French language ability important; candidate is fluent in French — strong advantage),N (scientific admission; no artistic portfolio),"M1 (first year of master) or equivalent in a related field; excellent grasp of at least 2 of {acoustics, signal processing, computer science}; ends with 5-month research internship. CS background directly qualifying.",UNVERIFIED,PRIOR CYCLE - confirm new date (applications typically spring for autumn start),https://www.atiam.ircam.fr/en/,Elite research pathway at IRCAM; perfect CS+signal fit and candidate's fluent French removes the usual language barrier; near-zero tuition; research/DSP focus rather than DJ-performance.,Unverified,verification agent returned nothing
"MA in Music, Science and Technology (MA/MST)",Stanford University — CCRMA / Department of Music,United States,Private,Sound/Music-Tech,English,UNVERIFIED (high private-university tuition — confirm on Stanford),No regular MA/MST funding; occasional TA/fellowship year-to-year,None (largely self-pay),None guaranteed — Music Dept/CCRMA state they lack regular MA funding,Y,Y (evidence of accomplishment: recordings/research papers),"Undergrad in music, engineering or science; GRE optional; USD 125 filing fee; evidence of accomplishment (scores/recordings/research). 2-yr, 45 units.",UNVERIFIED,PRIOR CYCLE - confirm new date (all components due second Tuesday in December),https://ccrma.stanford.edu/academics/masters,"World-class for audio DSP/computer music and network, but essentially self-funded — flag as self-pay fallback given candidate's strong funding preference.",Unverified,verification agent returned nothing
MSc Audio and Music Technology,"University of York (School of Physics, Engineering and Technology)",United Kingdom,Public,Sound/Music-Tech,English,"~GBP 29,400 first year (international) - confirm current",Check York international/dept scholarships,UNVERIFIED,UNVERIFIED,Y,Check,2:1 in Music/Music Tech OR technology/maths/science/engineering/computing degree with demonstrable music production/performance skills; English test if applicable. CS degree accepted.,UNVERIFIED,PRIOR CYCLE - confirm new date (1-year MSc; rolling admissions),https://www.york.ac.uk/study/postgraduate-taught/courses/msc-audio-music-technology/,"Explicitly welcomes computing graduates who can show production skills — good bridge from software engineering to audio; 1-year, high tuition, funding unclear.",Unverified,verification agent returned nothing
MSc Acoustics and Music Technology,University of Edinburgh (Edinburgh College of Art / Acoustics & Audio Group),United Kingdom,Public,Acoustics/Audio-Eng,English,"~GBP 25,100 (international) - confirm current",Check Edinburgh Global / school scholarships,UNVERIFIED,UNVERIFIED,Y,Check,"UK 2:1 (or intl equivalent) in physics, maths, computer science or engineering; music/music-tech degrees considered if strong maths/physics. English test if applicable.",UNVERIFIED,PRIOR CYCLE - confirm new date (apply via EUCLID; rolling),https://study.ed.ac.uk/programmes/postgraduate-taught/478-acoustics-and-music-technology,Physics/maths/CS-gated program — directly leverages software-engineering degree; acoustics + music tech blend; funding not confirmed.,Unverified,verification agent returned nothing
MSc Audio Communication and Technology (Audiokommunikation und -technologie),Technische Universität Berlin (TU Berlin),Germany,Public,Sound/Music-Tech,German (primary) — C1 German required; some courses/literature in English (B2 English also required),No tuition fee (public); only semester contribution (~EUR 300+/semester) - confirm,DAAD scholarships (external); check,Full (tuition-free) — living costs self/scholarship,N/A tuition-free; DAAD covers living for awardees,Y (BUT candidate has no German — C1 requirement is a hard barrier; flag),Check,"First degree in science/engineering/humanities/social science etc.; higher maths (>=10 credits) + a programming language/CAS required; C1 German for admission, B2 English. CS math/programming easily met.",UNVERIFIED,PRIOR CYCLE - confirm new date,https://www.tu.berlin/en/studying/study-programs/all-programs-offered/study-course/audio-communication-and-technology-m-sc,"Tuition-free and CS-math friendly, but the C1 German requirement is a blocker for this candidate (Arabic/French/English only) unless German is acquired.",Unverified,verification agent returned nothing
MSc Engineering Acoustics,Technical University of Denmark (DTU),Denmark,Public,Acoustics/Audio-Eng,English,"EUR 7,500/semester (EUR 30,000 total for 2-yr MSc) for non-EU/EEA; EU free; EUR 100 application fee","DTU tuition-fee waivers (limited, merit-based, for non-EU MSc)",Full (for top applicants via waiver) / otherwise self-pay,Waiver covers full tuition for two years for excellent-record students; no living stipend,Y,N,"BSc in engineering/natural science with math, physics and signal analysis; English B-level (IELTS/TOEFL/CAE); 2 recommendation letters. Signal-analysis prerequisite suits CS+math.",UNVERIFIED,PRIOR CYCLE - confirm new date (non-EU deadline typically ~mid-Jan for Sept),https://www.dtu.dk/english/education/graduate/msc-programmes/engineering-acoustics/prerequisites,"Serious audio/acoustics engineering; merit waiver can make it fully funded on tuition; DSP/signal-heavy — leverages software+math, not a production/DJ program.",Unverified,verification agent returned nothing
MSc Electrical Engineering and Audio Engineering (Elektrotechnik-Toningenieur),TU Graz & University of Music and Performing Arts Graz (KUG) — joint,Austria,Consortium (two public universities),Acoustics/Audio-Eng,Check (German/English mix; entrance interview available in German or English),Non-EU public tuition ~EUR 726.72/semester + student union fee (Austrian public rate) - confirm,Check OeAD / Austrian govt scholarships,UNVERIFIED,UNVERIFIED,Y,Check (musical-artistic education certificates + entrance exam),Equivalent bachelor; external applicants (not from KUG/TUG audio-eng BSc) must pass an entrance exam; certificates of musical-artistic education requested. Strong EE/DSP content.,UNVERIFIED,PRIOR CYCLE - confirm new date (documents by 30 June to KUG for external applicants),https://www.tugraz.at/en/studying-and-teaching/degree-and-certificate-programmes/masters-degree-programmes/electrical-engineering-and-audio-engineering,"Rigorous audio engineering (IEM/SPSC labs) at low Austrian public tuition; entrance exam for external applicants; heavy on EE/DSP, less on DJ-production.",Unverified,verification agent returned nothing
Audio Production MA,University of Westminster,United Kingdom,Public,Sound-Design/Production,English,"£16,000/year","Chevening Scholarship (external, Tunisia eligible, fully funded); International Postgraduate Excellence Award (£3,000, deadline 30 Nov 2026 for Jan 2027)",Full (via external Chevening) / Partial institutional,"Chevening: tuition + monthly living stipend + flights; institutional award: £3,000 tuition only",Y,Y,"2:2 honours or equivalent (strong portfolio can compensate); IELTS 6.5 overall (6.0 writing, no element below 5.5)",UNVERIFIED,Rolling/not fixed - Check; Chevening scholarship deadline typically early Nov (PRIOR CYCLE - confirm for 2027 intake),https://www.westminster.ac.uk/music-courses/2026-27/september/full-time/audio-production-ma,Creative Music Production + sound design + interactive audio in 14 pro studios (incl. 2 Dolby Atmos) in London; Chevening-eligible for Tunisians = realistic fully-funded route; IELTS still needed,Unverified,verification agent returned nothing
Master's in Music Creation,Rhythmic Music Conservatory (RMC) Copenhagen,Denmark,Conservatory,Sound-Design/Production,Check (Danish/English environment - confirm),UNVERIFIED (non-EU students pay tuition - Check),None found - Check Danish Ministry of Culture arrangements for non-EU students,UNVERIFIED,UNVERIFIED,Check,Y,"Bachelor's degree in music; entrance examination/audition (Check specifics); works across acoustic, electronic and cross-aesthetic formats",UNVERIFIED (via Danish Ministry of Culture portal),3 Feb 2026 12:00 CET was the 2026-intake deadline (PRIOR CYCLE - confirm ~Feb 2027 for next intake),https://rmc.dk/en/education/music-creation,"Europe's first conservatory for contemporary/rhythmic music (rock, pop, urban, electronic) - strong artist-producer development; requires a music bachelor, so CS-only background is a hurdle - Check eligibility",Unverified,verification agent returned nothing
Creative Production (Music) MA,"Catalyst - Institute for Creative Arts and Technology, Berlin (in partnership with Plymouth Marjon University)",Germany,Private,Sound-Design/Production,English,"EUR 6,028/semester full-time (~EUR 12,056/yr; EUR 11,693 with early-payment discount) + EUR 895/yr enrolment fee",None found,None,None,Y,Y,Bachelor's with honours (2:1) in relevant discipline OR equivalent professional/life experience; project proposal + portfolio + writing sample; IELTS 6 / B2 or Catalyst's own free online English test,Open now for 2026 intake; Sept 2027 cycle UNVERIFIED,2026 intake: visa-required applicants 30 Apr 2026 (passed); late applications to 28 Aug 2026 subject to availability; 2027 cycle not yet published,https://catalyst-berlin.com/music/course/creative-production-music-masters,"English-taught in Berlin's electronic-music capital, 35 studios, modular synthesis/creative coding/spatial sound; internal English test avoids IELTS barrier; no scholarships - realistic only as self-pay/partial (~EUR 12k/yr)",Unverified,verification agent returned nothing
MA Music Production (validated by Falmouth University),dBs Institute (Bristol / Manchester / Plymouth / Online),United Kingdom,Private,Sound-Design/Production,English,"£10,500 full-time (online only for internationals)",None found,None,None,Y (online mode only),N,2:2 undergraduate degree or equivalent; IELTS 6.5 (6.0 per section); interview-based assessment,Applications open (rolling),No fixed deadline published - Check,https://www.dbsinstitute.ac.uk/all-courses/ma-music-production-sound-engineering,"IMPORTANT: on-campus UK routes do not currently accept international students - only the online MA (£10,500) is open to a Tunisian applicant; online delivery means no visa but also no UK network immersion",Unverified,verification agent returned nothing
